date,reply count,sentiment type,sentiment score,change_percent2,volume2
2020-12-07,327,neutral,0.68992704,-0.19,4788560000
2020-12-28,6223,neutral,0.87366587,0.87,3527460000
2021-01-04,612,neutral,0.43212065,-1.48,5006680000
2021-01-07,6002,neutral,0.7112067,1.48,5080870000
2021-01-14,1189,neutral,0.66047364,-0.38,5180140000
2021-01-25,340,neutral,0.6073151,0.36,6955860000
2021-02-01,1317,neutral,0.4802898,1.61,5392870000
2021-02-08,11036,neutral,0.5008367,0.74,4635030000
2021-02-09,2363,neutral,0.56440467,-0.11,4554610000
2021-02-19,896,neutral,0.64816415,-0.19,4823940000
2021-02-23,1897,neutral,0.66185296,0.13,6280650000
2021-03-05,469,neutral,0.45405257,1.95,6842570000
2021-03-08,18826,neutral,0.7054376,-0.54,5852240000
2021-03-09,1054,neutral,0.46823958,1.42,5496340000
2021-03-24,4421,neutral,0.72982776,-0.55,4766990000
2021-04-14,324,neutral,0.53205734,-0.41,3976540000
2021-04-15,728,neutral,0.8667028,1.11,4027680000
2021-04-19,10602,neutral,0.5690544,-0.53,3788020000
2021-04-21,1436,neutral,0.783713,0.93,3865820000
2021-04-22,7002,neutral,0.53477466,-0.92,4235040000
2021-04-27,4212,neutral,0.7951244,-0.02,3703240000
2021-04-28,1082,neutral,0.6021461,-0.08,3772390000
2021-04-29,315,neutral,0.86903405,0.68,4288940000
2021-04-30,358,neutral,0.8286616,-0.72,4273680000
2021-05-07,1677,neutral,0.86409676,0.74,4013060000
2021-05-11,93955,neutral,0.90303624,-0.87,3593110000
2021-05-14,1149,neutral,0.8518019,1.49,3251920000
2021-05-17,16767,neutral,0.7372721,-0.25,3307130000
2021-05-20,1058,neutral,0.64109826,1.06,3019060000
2021-05-21,1451,neutral,0.88857085,-0.08,3344620000
2021-05-24,1054,neutral,0.4930558,0.99,2947400000
2021-05-26,940,neutral,0.86075467,0.19,3674490000
2021-06-02,920,neutral,0.7335913,0.14,4860930000
2021-06-07,336,neutral,0.69693977,-0.08,3835570000
2021-06-09,1415,neutral,0.56662744,-0.18,3902870000
2021-06-10,845,neutral,0.61074096,0.47,3502480000
2021-06-14,9175,neutral,0.6518512,0.18,3612050000
2021-06-15,852,neutral,0.5913894,-0.2,3578450000
2021-06-16,766,neutral,0.6670296,-0.54,3722050000
2021-06-17,559,neutral,0.90059733,-0.04,3952110000
2021-06-21,9417,neutral,0.670537,1.4,3391740000
2021-06-22,1314,neutral,0.5595774,0.51,3208760000
2021-06-24,476,neutral,0.48325533,0.58,3141680000
2021-06-25,623,neutral,0.6432092,0.33,6248390000
2021-06-28,1378,neutral,0.71939176,0.23,3415610000
2021-06-29,334,neutral,0.5226578,0.03,3049560000
2021-06-30,355,neutral,0.47873843,0.13,3687880000
2021-07-01,1402,neutral,0.7579019,0.52,3077580000
2021-07-08,1275,neutral,0.9316875,-0.86,3393780000
2021-07-12,3425,neutral,0.8585208,0.35,2983980000
2021-07-14,1396,neutral,0.89665306,0.12,3213870000
2021-07-16,679,neutral,0.70265824,-0.75,3165160000
2021-07-21,468,neutral,0.84513134,0.82,3078550000
2021-07-23,526,neutral,0.62044334,1.01,3490730000
2021-07-27,728,neutral,0.6621786,-0.47,3381080000
2021-07-29,14526,neutral,0.8318886,0.42,2815510000
2021-07-30,547,neutral,0.63860023,-0.54,2861600000
2021-08-02,511,neutral,0.59136575,-0.18,2919940000
2021-08-04,641,neutral,0.5947397,-0.46,3382620000
2021-08-05,8112,neutral,0.6458395,0.6,2734220000
2021-08-06,330,neutral,0.6486489,0.17,2839970000
2021-08-09,992,neutral,0.6679987,-0.09,2779880000
2021-08-16,485,neutral,0.6276337,0.26,2707170000
2021-08-18,566,neutral,0.61932087,-1.07,2965210000
2021-08-23,485,neutral,0.5223588,0.85,2965520000
2021-08-30,2216,neutral,0.57728153,0.43,2557300000
2021-09-02,483,neutral,0.52948123,0.28,2897010000
2021-09-03,363,neutral,0.7516191,-0.03,2609660000
2021-09-09,323,neutral,0.8832154,-0.46,3035300000
2021-09-10,1699,neutral,0.7421723,-0.77,2851140000
2021-09-13,528,neutral,0.90335554,0.23,3096390000
2021-09-16,674,neutral,0.6872319,-0.16,3321030000
2021-09-20,1599,neutral,0.8849298,-1.7,3773680000
