date,reply count,sentiment type,sentiment score,change_percent,volume
2020-02-28,434,neutral,0.74346167,-1.62,24564166
2020-03-10,3641,neutral,0.6808955,6.14,15594439
2020-03-23,420,neutral,0.53691375,1.58,16454550
2020-04-09,281,neutral,0.8096174,4.4,13649999
2020-04-16,3887,neutral,0.897579,2.11,20657858
2020-04-23,732,neutral,0.59637576,-3.62,13236699
2020-04-24,410,neutral,0.5119031,2.77,13237609
2020-05-04,1107,neutral,0.84040815,8.54,19237087
2020-05-06,283,neutral,0.76784605,1.87,11123228
2020-05-08,283,neutral,0.50422233,5.05,16130089
2020-05-11,11045,neutral,0.7083726,-0.99,16519599
2020-05-12,598,neutral,0.548901,-0.23,15906910
2020-05-14,1459,neutral,0.8781578,1.56,13682190
2020-05-15,769,neutral,0.8213197,-0.52,10518428
2020-05-29,323,neutral,0.5798983,3.62,11812489
2020-06-01,947,neutral,0.6721597,7.56,15085299
2020-06-08,4449,neutral,0.78693944,7.26,14174729
2020-06-10,723,neutral,0.88024944,8.97,18563409
2020-06-11,586,neutral,0.5445335,-5.09,15916479
2020-06-16,276,neutral,0.861974,-0.89,14051079
2020-06-18,681,neutral,0.68889546,1.23,9751935
2020-06-19,5520,neutral,0.6654297,-0.3,8679748
2020-06-22,2385,neutral,0.87177783,-0.66,6362349
2020-06-25,1683,neutral,0.47026035,2.62,9254548
2020-06-26,3297,neutral,0.5216985,-2.66,8854907
2020-06-29,689,neutral,0.57207423,5.17,9026403
2020-07-06,497,neutral,0.7947603,13.48,20569858
2020-07-14,503,neutral,0.7292624,1.32,23418140
2020-07-27,271,neutral,0.5285425,8.65,16048670
2020-08-10,792,neutral,0.8875791,-2.35,7522263
2020-08-28,810,neutral,0.42342418,-1.13,20081177
2020-08-31,533,neutral,0.6407227,12.57,118374394
2020-09-08,2612,neutral,0.78434455,-21.06,115465691
2020-09-17,1790,neutral,0.6874828,-4.15,76779153
2020-09-21,428,neutral,0.6166125,1.64,109476793
2020-09-22,2950,neutral,0.60417056,-5.6,79580794
2020-09-28,290,neutral,0.7748808,3.4,49719557
2020-10-02,498,neutral,0.5341019,-7.38,71430029
2020-10-05,308,neutral,0.8612698,2.55,44722791
2020-10-06,971,neutral,0.6880081,-2.75,49146256
2020-10-07,374,neutral,0.62820023,2.73,43127709
2020-10-13,271,neutral,0.548918,0.98,34463671
2020-10-14,369,neutral,0.9012654,3.28,48045389
2020-10-22,2946,neutral,0.5289251,0.75,39993190
2020-10-29,9051,neutral,0.7064156,1.18,22655310
2020-11-05,3243,neutral,0.59475577,4.06,28414519
2020-12-07,327,neutral,0.68992704,7.13,56309709
2020-12-28,6223,neutral,0.87366587,0.29,32278560
2021-01-04,612,neutral,0.43212065,3.42,48638189
2021-01-07,6002,neutral,0.7112067,7.94,51498951
2021-01-14,1189,neutral,0.66047364,-1.1,31266327
2021-01-25,340,neutral,0.6073151,4.03,41173396
2021-02-01,1317,neutral,0.4802898,5.83,25391390
2021-02-08,11036,neutral,0.5008367,1.31,20161720
2021-02-09,2363,neutral,0.56440467,-1.62,15157649
2021-02-19,896,neutral,0.64816415,-0.77,18958259
2021-02-23,1897,neutral,0.66185296,-2.19,66606881
2021-03-05,469,neutral,0.45405257,-3.78,89396458
2021-03-08,18826,neutral,0.7054376,-5.84,51786959
2021-03-09,1054,neutral,0.46823958,19.64,67523326
2021-03-24,4421,neutral,0.72982776,-4.82,33795167
2021-04-14,324,neutral,0.53205734,-3.95,49017432
2021-04-15,728,neutral,0.8667028,0.9,27848899
2021-04-19,10602,neutral,0.5690544,-3.4,39686229
2021-04-21,1436,neutral,0.783713,3.5,31215509
2021-04-22,7002,neutral,0.53477466,-3.28,35590261
2021-04-27,4212,neutral,0.7951244,-4.53,29436999
2021-04-28,1082,neutral,0.6021461,-1.47,22271050
2021-04-29,315,neutral,0.86903405,-2.51,28845446
2021-04-30,358,neutral,0.8286616,4.79,40758717
2021-05-07,1677,neutral,0.86409676,1.33,23469167
2021-05-11,93955,neutral,0.90303624,-1.88,46503896
2021-05-14,1149,neutral,0.8518019,3.16,33370858
2021-05-17,16767,neutral,0.7372721,-2.19,32247800
2021-05-20,1058,neutral,0.64109826,4.14,30821118
2021-05-21,1451,neutral,0.88857085,-1.01,26030599
2021-05-24,1054,neutral,0.4930558,4.4,34558089
2021-05-26,940,neutral,0.86075467,2.39,28639310
2021-06-02,920,neutral,0.7335913,-3.01,23302778
2021-06-07,336,neutral,0.69693977,1.01,22543679
2021-06-09,1415,neutral,0.56662744,-0.8,16584569
2021-06-10,845,neutral,0.61074096,1.89,23919606
2021-06-14,9175,neutral,0.6518512,1.28,20423979
2021-06-15,852,neutral,0.5913894,-2.97,17764149
2021-06-16,766,neutral,0.6670296,0.92,22144130
2021-06-17,559,neutral,0.90059733,1.94,22701349
2021-06-21,9417,neutral,0.670537,-0.4,24812739
2021-06-22,1314,neutral,0.5595774,0.46,19158890
2021-06-24,476,neutral,0.48325533,3.54,45982389
2021-06-25,623,neutral,0.6432092,-1.17,32496710
2021-06-28,1378,neutral,0.71939176,2.51,21628159
2021-06-29,334,neutral,0.5226578,-1.16,17381310
2021-06-30,355,neutral,0.47873843,-0.16,18924858
2021-07-01,1402,neutral,0.7579019,-0.26,18634519
2021-07-08,1275,neutral,0.9316875,1.27,22773319
2021-07-12,3425,neutral,0.8585208,4.38,25927038
2021-07-14,1396,neutral,0.89665306,-2.27,21641188
2021-07-16,679,neutral,0.70265824,-0.98,16370969
2021-07-21,468,neutral,0.84513134,-0.79,13953339
2021-07-23,526,neutral,0.62044334,-0.91,14604939
2021-07-27,728,neutral,0.6621786,-1.95,32813288
2021-07-29,14526,neutral,0.8318886,4.69,30394640
2021-07-30,547,neutral,0.63860023,1.45,29656407
2021-08-02,511,neutral,0.59136575,3.27,33615769
2021-08-04,641,neutral,0.5947397,0.17,17002649
2021-08-05,8112,neutral,0.6458395,0.52,12919639
2021-08-06,330,neutral,0.6486489,-2.17,15623049
2021-08-09,992,neutral,0.6679987,2.1,14715349
2021-08-16,485,neutral,0.6276337,-4.32,23103300
2021-08-18,566,neutral,0.61932087,3.5,20349380
2021-08-23,485,neutral,0.5223588,3.83,20264858
2021-08-30,2216,neutral,0.57728153,2.67,18604220
2021-09-02,483,neutral,0.52948123,-0.23,12796739
2021-09-03,363,neutral,0.7516191,0.16,15271049
2021-09-09,323,neutral,0.8832154,0.13,14077729
2021-09-10,1699,neutral,0.7421723,-2.46,15184169
2021-09-13,528,neutral,0.90335554,0.91,22952479
2021-09-16,674,neutral,0.6872319,0.15,13923389
2021-09-20,1599,neutral,0.8849298,-3.86,24757647
2021-09-21,295,neutral,0.8239299,1.26,16330719
2021-09-22,718,neutral,0.52144253,1.7,15126269
2021-09-27,643,neutral,0.5172128,2.19,28070659
2021-09-28,510,neutral,0.5873949,-1.74,25381419
2021-10-01,874,neutral,0.91354877,-0.03,17031409
2021-10-04,1549,neutral,0.47284392,0.81,30483339
2021-10-05,3384,neutral,0.6043829,-0.12,18432630
2021-10-11,562,neutral,0.7884836,0.82,14200319
2021-10-13,374,neutral,0.69173515,0.67,14120079
2021-10-15,316,neutral,0.9247564,3.02,18924569
2021-10-18,526,neutral,0.6360816,3.21,24207239
2021-10-21,1314,neutral,0.7148619,3.26,31481446
2021-10-22,313,neutral,0.78060514,1.75,22880839
2021-10-25,798,neutral,0.55606395,12.66,62852096
2021-10-26,1127,neutral,0.6282611,-0.63,62414967
2021-10-27,1182,neutral,0.84755176,1.91,38526460
2021-10-28,854,neutral,0.5873742,3.78,27213167
2021-11-01,8093,neutral,0.6872769,8.49,56048717
2021-11-02,2139,neutral,0.5559004,-3.03,42737799
2021-11-04,1448,neutral,0.558291,1.32,25397407
2021-11-08,54577,neutral,0.7127398,-4.84,33445718
2021-11-12,1382,neutral,0.809651,-2.83,25573149
2021-11-15,357,neutral,0.57248616,-1.94,34775647
2021-11-16,1179,neutral,0.89335567,4.08,26542358
2021-11-17,639,neutral,0.61522776,3.25,31445366
2021-11-19,600,neutral,0.68709373,3.71,21642259
2021-11-22,942,neutral,0.82350314,1.74,33072511
2021-11-23,2668,neutral,0.52957743,-4.14,36171698
2021-11-24,568,neutral,0.5516622,0.63,22560239
2021-11-26,408,neutral,0.61470747,-3.05,11680889
2021-11-29,610,neutral,0.581671,5.09,19464470
2021-12-01,9623,neutral,0.49672565,-4.35,22934698
2021-12-03,274,neutral,0.763203,-6.42,30773999
2021-12-07,6091,neutral,0.6595614,4.24,18694858
2021-12-08,1632,neutral,0.54706335,1.64,13968789
