date,reply count,sentiment type,sentiment score,change_percent,volume
2016-10-19,303,negative,0.53885216,2.24,6991183
2016-10-20,232,negative,0.60020894,-2.19,5072876
2016-11-21,71,negative,0.8933844,-0.27,4361042
2016-11-22,686,negative,0.8363871,3.6,5603360
2016-12-07,584,negative,0.6166038,3.93,5461850
2016-12-19,2413,negative,0.86654747,0.12,3488070
2017-01-11,26,negative,0.9012273,-0.06,3650824
2017-01-23,32,negative,0.7055554,1.71,6262937
2017-01-25,1180,negative,0.65726453,-0.05,5146360
2017-01-30,2109,negative,0.8100484,-0.92,3801073
2017-02-06,1069,negative,0.9510943,2.56,3562516
2017-02-07,43,negative,0.6864873,-0.11,4244774
2017-02-09,30,negative,0.50170505,2.72,7820221
2017-02-10,28,negative,0.87596875,0.01,3619738
2017-03-06,125,negative,0.7578915,-0.14,3355499
2017-03-10,68,negative,0.5512623,-0.49,3066271
2017-03-14,37,negative,0.9554022,4.81,7598444
2017-03-24,1140,negative,0.92210513,3.29,5647252
2017-03-27,30,negative,0.72954917,2.68,6230794
2017-03-28,654,negative,0.5249238,2.68,7987603
2017-04-03,890,negative,0.97529334,7.27,13888618
2017-04-04,140,negative,0.58206135,1.74,10134559
2017-04-18,39,negative,0.4737934,-0.39,3035697
2017-05-01,1289,negative,0.9240595,2.79,8829564
2017-05-05,1376,negative,0.5354872,4.36,8177347
2017-05-11,624,negative,0.529954,-0.65,4753818
2017-05-12,870,negative,0.7261715,0.53,4121611
2017-05-17,25,negative,0.6760706,-3.44,6711939
2017-05-22,118,negative,0.9433649,-0.15,4329177
2017-06-02,22999,negative,0.80670995,-0.15,5590237
2017-06-05,83,negative,0.7384071,2.2,6784367
2017-06-07,28,negative,0.5959205,1.93,9397958
2017-06-08,710,negative,0.97014296,2.88,9061495
2017-06-09,1395,negative,0.878825,-3.43,17261438
2017-06-12,10,negative,0.84752786,0.47,10517659
2017-06-16,739,negative,0.52778643,-1.05,6730972
2017-06-19,157,negative,0.8375265,-0.43,6549331
2017-06-20,17,negative,0.7825866,0.66,7438700
2017-06-22,564,negative,0.9004896,1.65,7529777
2017-06-23,58,negative,0.6505949,0.22,6445757
2017-06-26,41,negative,0.5656489,-1.55,6604098
2017-06-29,65,negative,0.899763,-2.83,8221036
2017-07-03,349,negative,0.9283404,-2.49,6305400
2017-07-06,1030,negative,0.83305836,-5.58,19324499
2017-07-10,721,negative,0.92207956,0.9,13820889
2017-07-14,46,negative,0.91165924,1.35,5625210
2017-07-17,35,negative,0.7759553,-2.5,9876911
2017-07-25,1070,negative,0.5365831,-0.85,6989196
2017-07-31,793,negative,0.8721614,-3.46,8535135
2017-08-07,296,negative,0.6895956,-0.49,6324479
2017-08-11,123,negative,0.9459888,0.7,4365782
2017-08-14,2161,negative,0.774196,1.66,4519185
2017-08-15,35,negative,0.6305452,-0.4,3085087
2017-08-18,192,negative,0.8165128,-1.27,5408182
2017-08-21,18,negative,0.7991654,-2.76,6495423
2017-08-24,552,negative,0.5914416,0.05,4584686
2017-08-25,30,negative,0.90299296,-1.38,3483955
