date,change_percent,volume
2012-04-02,-1.77,1028503
2012-04-03,3.91,1104149
2012-04-04,-7.92,4482815
2012-04-05,-1.48,1509477
2012-04-09,-3.86,1655804
2012-04-10,-2.08,1847668
2012-04-11,1.94,1105446
2012-04-12,1.06,1034153
2012-04-13,0.45,649580
2012-04-16,-3.99,1099750
2012-04-17,-0.03,1115537
2012-04-18,1.3,823095
2012-04-19,1.53,774877
2012-04-20,0.0,821773
2012-04-23,-3.68,890714
2012-04-24,-0.38,674467
2012-04-25,3.43,712133
2012-04-26,1.76,427619
2012-04-27,-0.45,590205
2012-04-30,-0.63,413948
2012-05-01,1.96,658947
2012-05-02,0.48,497251
2012-05-03,-4.36,842106
2012-05-04,-1.94,1247485
2012-05-07,2.01,1157968
2012-05-08,-7.02,3097179
2012-05-09,-0.43,1947827
2012-05-10,9.65,5556300
2012-05-11,-2.15,1221204
2012-05-14,-6.79,1380841
2012-05-15,-2.1,1585681
2012-05-16,-0.85,1257192
2012-05-17,-2.09,1149042
2012-05-18,-3.54,1616486
2012-05-21,4.39,1475169
2012-05-22,7.02,2366169
2012-05-23,0.75,1220348
2012-05-24,-2.26,1075519
2012-05-25,-1.68,757009
2012-05-29,6.31,1649916
2012-05-30,-4.04,1307140
2012-05-31,-2.99,1118700
2012-06-01,-4.58,885709
2012-06-04,-0.96,1030833
2012-06-05,0.11,630885
2012-06-06,4.69,910507
2012-06-07,-0.99,492015
2012-06-08,3.97,881208
2012-06-11,-3.19,635947
2012-06-12,1.85,568994
2012-06-13,0.37,844370
2012-06-14,-1.28,872160
2012-06-15,1.77,646737
2012-06-18,6.45,1256795
2012-06-19,0.78,911028
2012-06-20,5.27,3422341
2012-06-21,-4.71,1891894
2012-06-22,4.95,3047451
2012-06-25,-2.0,1503185
2012-06-26,-4.53,2613848
2012-06-27,1.11,1047193
2012-06-28,-1.72,914039
2012-06-29,-0.38,1125703
2012-07-02,-2.84,1315533
2012-07-03,0.85,947127
2012-07-05,1.86,1253865
2012-07-06,-0.77,784660
2012-07-09,1.61,910408
2012-07-10,-0.7,758352
2012-07-11,0.77,638516
2012-07-12,3.77,1125669
2012-07-13,4.74,1304911
2012-07-16,4.99,1743907
2012-07-17,-7.26,2569462
2012-07-18,-3.6,2882083
2012-07-19,0.37,1435877
2012-07-20,-1.49,1568465
2012-07-23,-3.55,1386742
2012-07-24,-2.68,1500675
2012-07-25,-2.98,2844064
2012-07-26,-2.83,2263004
2012-07-27,4.91,1672967
2012-07-30,-7.32,2066039
2012-07-31,0.26,1575059
2012-08-01,-4.27,1592216
2012-08-02,-0.57,1305015
2012-08-03,4.48,1209469
2012-08-06,3.67,1528168
2012-08-07,7.0,2387303
2012-08-08,-3.84,1308894
2012-08-09,1.1,672584
2012-08-10,1.8,707390
2012-08-13,4.11,870049
2012-08-14,-5.62,793335
2012-08-15,-0.07,525385
2012-08-16,3.06,668973
2012-08-17,-0.96,508122
2012-08-20,-1.67,1179007
2012-08-21,-1.35,761516
2012-08-22,2.89,775489
2012-08-23,2.6,1470973
2012-08-24,-4.0,1430010
2012-08-27,-4.0,1350324
2012-08-28,1.31,1402655
2012-08-29,-0.98,838882
2012-08-30,0.0,656307
2012-08-31,0.39,539736
2012-09-04,-1.33,752496
2012-09-05,-0.71,639227
2012-09-06,2.18,841642
2012-09-07,2.81,953150
2012-09-10,-6.75,1484014
2012-09-11,1.57,1014870
2012-09-12,1.73,1145333
2012-09-13,4.24,1486358
2012-09-14,3.09,1536668
2012-09-17,7.07,3212990
2012-09-18,-3.69,1788479
2012-09-19,-0.92,1048456
2012-09-20,-0.48,912371
2012-09-21,-2.85,1870169
2012-09-24,2.13,1302003
2012-09-25,-9.78,5684951
2012-09-26,-0.43,1527319
2012-09-27,3.45,1758552
2012-09-28,2.77,4343337
2012-10-01,-0.41,884304
2012-10-02,2.2,728969
2012-10-03,-1.68,1055287
2012-10-04,0.34,1541206
2012-10-05,-1.73,938669
2012-10-08,1.25,890005
2012-10-09,-3.01,1193478
2012-10-10,0.11,505063
2012-10-11,-0.28,450571
2012-10-12,-2.4,987534
2012-10-15,-1.12,1469166
2012-10-16,2.67,479248
2012-10-17,2.7,667963
2012-10-18,-2.71,740947
2012-10-19,-1.07,1027301
2012-10-22,0.4,470198
2012-10-23,1.94,749273
2012-10-24,-3.42,1016367
2012-10-25,0.37,577686
2012-10-26,-0.51,477305
2012-10-31,2.74,775141
2012-11-01,3.96,1024053
2012-11-02,-1.12,1030264
2012-11-05,8.93,2049117
2012-11-06,-1.11,2323942
2012-11-07,1.25,1715416
2012-11-08,-0.73,1273985
2012-11-09,-3.16,863027
2012-11-12,2.47,557651
2012-11-13,1.75,998262
2012-11-14,-0.74,871314
2012-11-15,-1.78,983940
2012-11-16,3.31,908649
2012-11-19,3.39,1392547
2012-11-20,0.24,922426
2012-11-21,-1.6,963132
2012-11-23,-1.05,430212
2012-11-26,0.43,496219
2012-11-27,-0.37,910769
2012-11-28,3.36,1525298
2012-11-29,1.39,1103314
2012-11-30,0.39,1420283
2012-12-03,2.36,2085752
2012-12-04,-2.08,1264210
2012-12-05,-0.56,661486
2012-12-06,0.57,660397
2012-12-07,0.8,664586
2012-12-10,1.17,929750
2012-12-11,2.05,1572590
2012-12-12,-0.06,2063876
2012-12-13,-4.68,2151223
2012-12-14,0.59,1022942
2012-12-17,1.74,824808
2012-12-18,0.55,1554435
2012-12-19,0.06,1298730
2012-12-20,-0.52,921193
2012-12-21,-1.25,1492305
2012-12-24,0.82,375796
2012-12-26,-2.01,601784
2012-12-27,0.3,561085
2012-12-28,-1.39,414135
2012-12-31,1.96,594846
2013-01-02,4.4,1194709
2013-01-03,-1.67,741941
2013-01-04,-1.07,673993
2013-01-07,-0.17,441909
2013-01-08,-1.92,1283984
2013-01-09,-0.12,697979
2013-01-10,-0.33,922404
2013-01-11,-1.85,1563273
2013-01-14,1.06,925017
2013-01-15,1.93,1624388
2013-01-16,0.59,1378137
2013-01-17,0.82,1436603
2013-01-18,0.41,3555073
2013-01-22,1.94,1920130
2013-01-23,2.3,1564205
2013-01-24,2.75,1970388
2013-01-25,-0.03,1287702
2013-01-28,2.84,1985991
2013-01-29,-0.21,1426502
2013-01-30,-1.13,968097
2013-01-31,-0.02,901317
2013-02-01,2.1,1100589
2013-02-04,-1.46,1127988
2013-02-05,1.03,1310191
2013-02-06,2.73,1893147
2013-02-07,0.79,1197520
2013-02-08,-0.61,1139732
2013-02-11,-2.09,3266247
2013-02-12,-1.38,2261245
2013-02-13,1.48,967101
2013-02-14,-0.39,990639
2013-02-15,-3.29,2018268
2013-02-19,6.05,2701339
2013-02-20,-1.89,3121909
2013-02-21,-8.77,9038211
2013-02-22,2.7,2547830
2013-02-25,-4.79,2890771
2013-02-26,0.14,2763049
2013-02-27,1.95,1959128
2013-02-28,-0.77,1964892
2013-03-01,-0.52,1546599
2013-03-04,2.68,1757659
2013-03-05,3.01,2086968
2013-03-06,2.84,1149924
2013-03-07,1.43,1158353
2013-03-08,0.63,912051
2013-03-11,1.64,1579439
2013-03-12,0.05,1275061
2013-03-13,-0.36,821985
2013-03-14,-5.46,2024458
2013-03-15,-4.23,3279776
2013-03-18,-0.4,1316335
2013-03-19,-0.2,1098474
2013-03-20,2.48,1423683
2013-03-21,0.17,1146286
2013-03-22,1.69,446235
2013-03-25,2.49,2379353
2013-03-26,0.88,1808136
2013-03-27,0.79,1296282
2013-03-28,-0.71,1158651
2013-04-01,15.94,14105870
2013-04-02,0.93,6652373
2013-04-03,-7.31,5644994
2013-04-04,2.22,2264866
2013-04-05,-1.52,1552388
2013-04-08,1.11,1679000
2013-04-09,-3.18,1696035
2013-04-10,3.36,2121087
2013-04-11,4.13,3448080
2013-04-12,0.37,3149371
2013-04-15,-1.03,1685983
2013-04-16,5.29,3180437
2013-04-17,-0.31,2118427
2013-04-18,3.34,3368699
2013-04-19,1.83,3012135
2013-04-22,4.93,3939326
2013-04-23,1.63,3737549
2013-04-24,-1.14,2630107
2013-04-25,3.11,2796206
2013-04-26,-1.54,3622429
2013-04-29,7.31,3642205
2013-04-30,-1.73,5523947
2013-05-01,-1.31,2742777
2013-05-02,1.56,3052332
2013-05-03,0.82,3379402
2013-05-06,9.07,4372798
2013-05-07,-6.71,9994548
2013-05-08,0.5,6769858
2013-05-09,24.4,28604967
2013-05-10,10.61,25086428
2013-05-13,14.38,22416819
2013-05-14,-5.19,37163900
2013-05-15,1.92,16878698
2013-05-16,8.73,21613999
2013-05-17,-0.81,19008446
2013-05-20,-1.7,8348330
2013-05-21,-2.61,9001763
2013-05-22,-0.4,8573775
2013-05-23,6.29,12044259
2013-05-24,4.69,16124190
2013-05-28,13.65,19691819
2013-05-29,-5.17,25099478
2013-05-30,0.31,16140550
2013-05-31,-6.85,15171929
2013-06-03,-5.29,19143479
2013-06-04,2.43,8856044
2013-06-05,0.56,12224729
2013-06-06,2.08,9514405
2013-06-07,4.82,10717219
2013-06-10,-1.95,9234214
2013-06-11,-5.58,7396039
2013-06-12,3.45,9197523
2013-06-13,0.46,5965123
2013-06-14,2.16,6567420
2013-06-17,1.89,7075639
2013-06-18,1.17,8803563
2013-06-19,1.25,8588733
2013-06-20,-3.85,10111219
2013-06-21,-1.09,11718529
2013-06-24,1.95,7127019
2013-06-25,0.9,5850831
2013-06-26,3.24,6610158
2013-06-27,3.34,8750825
2013-06-28,-1.73,5750430
2013-07-01,9.15,10903599
2013-07-02,0.55,12070319
2013-07-03,-2.19,4806661
2013-07-05,4.21,6827496
2013-07-08,1.27,7820815
2013-07-09,1.51,8603207
2013-07-10,-0.96,5600011
2013-07-11,2.73,7486957
2013-07-12,3.42,11349189
2013-07-15,-2.03,9924335
2013-07-16,-14.31,32371867
2013-07-17,10.27,26028947
2013-07-18,-1.02,11407359
2013-07-19,0.55,5891438
2013-07-22,2.3,9804809
2013-07-23,0.25,7740468
2013-07-24,-0.85,6871371
2013-07-25,1.95,5287143
2013-07-26,4.29,9640703
2013-07-29,4.04,9686071
2013-07-30,-2.14,13130269
2013-07-31,1.93,6351636
2013-08-01,0.95,5323598
2013-08-02,1.81,6269837
2013-08-05,4.84,10200629
2013-08-06,-1.75,9261091
2013-08-07,-5.57,18212140
2013-08-08,14.34,27246758
2013-08-09,-0.31,8936028
2013-08-12,-3.67,14912179
2013-08-13,-1.32,8748863
2013-08-14,-4.17,11693739
2013-08-15,0.22,10188879
2013-08-16,1.67,7108084
2013-08-19,2.04,8037639
2013-08-20,3.23,6418107
2013-08-21,-1.15,6266261
2013-08-22,6.25,10592389
2013-08-23,3.02,12931839
2013-08-26,1.47,24171098
2013-08-27,1.7,17566819
2013-08-28,-0.34,14740009
2013-08-29,-0.23,9445719
2013-08-30,1.77,11028359
2013-09-03,-0.04,12061099
2013-09-04,1.0,11475649
2013-09-05,-0.41,6693201
2013-09-06,-1.74,8619629
2013-09-09,-3.76,14344470
2013-09-10,3.53,8967785
2013-09-11,-1.71,5832475
2013-09-12,0.86,6159992
2013-09-13,0.37,5409887
2013-09-16,0.63,7592597
2013-09-17,-0.21,5500717
2013-09-18,-0.01,5439613
2013-09-19,7.04,15594569
2013-09-20,3.07,13401689
2013-09-23,-1.24,8191840
2013-09-24,0.67,6282430
2013-09-25,1.6,8252620
2013-09-26,1.84,6621591
2013-09-27,1.2,5923880
2013-09-30,1.29,8934540
2013-10-01,-0.19,7761428
2013-10-02,-6.24,20775409
2013-10-03,-4.22,23816498
2013-10-04,4.43,14413969
2013-10-07,1.16,11485579
2013-10-08,-4.56,13757219
2013-10-09,-3.41,15316479
2013-10-10,2.46,8883909
2013-10-11,3.34,8311085
2013-10-14,0.57,7769628
2013-10-15,2.35,10978539
2013-10-16,-0.21,8205366
2013-10-17,-0.41,6704967
2013-10-18,0.33,5930814
2013-10-21,-5.89,11532129
2013-10-22,-0.61,11394679
2013-10-23,-4.1,13327739
2013-10-24,5.26,10825669
